uuid,source,category,material_or_activity,region,activity_name,unit,value_kgco2e,uncertainty_pct,data_quality_score_1to5,reference_year,methodology,allocation,reference,notes,last_updated,meta
b8643a86-523c-4032-a9b1-11bacc3c6aa9,Ecoinvent,Transport,Rail,US,Transport - Rail (US),kgCO2e/tonne-km,0.9378,15,4,2019,Hybrid,None,Ecoinvent 2019 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-05-09,"{""env"":""pilot"",""license"":""TBD""}"
05b50b70-e08b-4141-8d6d-b18724d2a94a,DEFRA,Distribution,3PL Hub,Global,Distribution - 3PL Hub (Global),kgCO2e/item,0.5825,10,4,2020,Attributional,Mass,DEFRA 2020 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-05-25,"{""env"":""pilot"",""license"":""TBD""}"
3315bf1a-1daf-477e-9b51-292ff5595807,Higg MSI,Packaging,Polybag,EU,Packaging - Polybag (EU),kgCO2e/item,0.0799,10,4,2021,Process-based,Energy Content,Higg MSI 2021 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-03-04,"{""env"":""pilot"",""license"":""TBD""}"
d934a040-2a48-4b62-b86c-7806ff3df00b,Climatiq,Fabric,Fleece,CN,Fabric - Fleece (CN),kgCO2e/kg,11.4786,20,1,2020,Hybrid,Economic,Climatiq 2020 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-06-11,"{""env"":""pilot"",""license"":""TBD""}"
069c9df4-28a4-4a49-98e0-2cb7fb7af59c,Ecoinvent,Yarn,Open End,TR,Yarn - Open End (TR),kgCO2e/kg,1.5032,15,4,2020,Attributional,None,Ecoinvent 2020 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-10-18,"{""env"":""pilot"",""license"":""TBD""}"
14a17dd7-3c79-400c-9a12-a454c999a5c1,DEFRA,Fibre,Viscose,CN,Fibre - Viscose (CN),kgCO2e/kg,4.4288,15,3,2020,Hybrid,Economic,DEFRA 2020 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-09-13,"{""env"":""pilot"",""license"":""TBD""}"
9fc44406-cf4a-454f-9bcb-89edf5cbd31c,DEFRA,Yarn,Open End,CN,Yarn - Open End (CN),kgCO2e/kg,5.1049,5,5,2020,Attributional,Economic,DEFRA 2020 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-05-14,"{""env"":""pilot"",""license"":""TBD""}"
97273311-62af-4b22-b9a2-e0ec32801265,Ecoinvent,Yarn,Filament,TR,Yarn - Filament (TR),kgCO2e/kg,7.7498,10,4,2021,Attributional,Mass,Ecoinvent 2021 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-10-28,"{""env"":""pilot"",""license"":""TBD""}"
6042103c-7f6e-42c9-aad5-eee6dd1eb482,Higg MSI,Retail,Store Electricity,US,Retail - Store Electricity (US),kgCO2e/kWh,0.2994,20,4,2023,Consequential,Energy Content,Higg MSI 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-11-19,"{""env"":""pilot"",""license"":""TBD""}"
8c66ec67-d35b-47d1-a491-672032114101,Higg MSI,Transport,Truck Euro6,CN,Transport - Truck Euro6 (CN),kgCO2e/tonne-km,0.4038,15,2,2022,Hybrid,None,Higg MSI 2022 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-11-26,"{""env"":""pilot"",""license"":""TBD""}"
286f4db4-e4b7-47b5-9574-5e9b8bc956b8,Climatiq,Fabric,Knit,Global,Fabric - Knit (Global),kgCO2e/kg,17.5474,20,4,2021,Consequential,Energy Content,Climatiq 2021 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-10-15,"{""env"":""pilot"",""license"":""TBD""}"
